iter	Passed	Remaining
0	110	110410
1	178	89133
2	275	91505
3	340	84900
4	418	83317
5	486	80678
6	544	77192
7	618	76678
8	681	75064
9	746	73859
10	799	71881
11	878	72297
12	936	71133
13	996	70162
14	1056	69376
15	1121	68947
16	1214	70233
17	1396	76210
18	1476	76245
19	1538	75401
20	1597	74451
21	1641	72981
22	1696	72056
23	1787	72682
24	1816	70826
25	1845	69135
26	1910	68860
27	1975	68581
28	2037	68234
29	2067	66839
30	2091	65383
31	2116	64013
32	2170	63608
33	2234	63490
34	2298	63369
35	2423	64899
36	2483	64630
37	2539	64287
38	2644	65174
39	2685	64445
40	2757	64489
41	2909	66356
42	3123	69510
43	3393	73735
44	3456	73345
45	3588	74431
46	3952	80148
47	4295	85200
48	4370	84828
49	4481	85140
50	4610	85800
51	4734	86320
52	4863	86905
53	4921	86221
54	5004	85988
55	5213	87889
56	5324	88086
57	5450	88525
58	5616	89582
59	5659	88670
60	5779	88968
61	5945	89956
62	6054	90042
63	6241	91282
64	6439	92623
65	6565	92915
66	6673	92935
67	6785	93004
68	6864	92616
69	6992	92900
70	7159	93684
71	7266	93659
72	7331	93101
73	7415	92792
74	7493	92414
75	7547	91767
76	7604	91156
77	7675	90732
78	7736	90195
79	7805	89766
80	7863	89218
81	7920	88671
82	7983	88199
83	8040	87680
84	8103	87232
85	8171	86850
86	8237	86448
87	8308	86101
88	8369	85668
89	8437	85313
90	8515	85059
91	8580	84684
92	8660	84465
93	8717	84026
94	8783	83673
95	8843	83277
96	8901	82869
97	8965	82521
98	9040	82273
99	9099	81898
100	9161	81543
101	9228	81245
102	9289	80900
103	9343	80496
104	9423	80323
105	9488	80023
106	9552	79720
107	9624	79489
108	9688	79199
109	9741	78817
110	9792	78430
111	9852	78117
112	9902	77730
113	9965	77447
114	10038	77252
115	10108	77031
116	10183	76856
117	10250	76617
118	10318	76391
119	10378	76108
120	10432	75784
121	10498	75554
122	10567	75343
123	10630	75098
124	10690	74834
125	10756	74612
126	10818	74364
127	10878	74111
128	10931	73809
129	10991	73556
130	11056	73343
131	11152	73335
132	11238	73262
133	11419	73801
134	11544	73971
135	11620	73822
136	11706	73740
137	11776	73561
138	11840	73340
139	11901	73111
140	11969	72921
141	12029	72687
142	12101	72525
143	12167	72329
144	12236	72154
145	12293	71905
146	12349	71659
147	12416	71476
148	12485	71312
149	12540	71062
150	12603	70861
151	12679	70738
152	12739	70523
153	12804	70339
154	12872	70173
155	12921	69906
156	12986	69731
157	13048	69534
158	13119	69393
159	13185	69222
160	13243	69015
161	13306	68833
162	13370	68657
163	13434	68482
164	13497	68304
165	13562	68140
166	13629	67984
167	13687	67786
168	13748	67603
169	13808	67415
170	13865	67217
171	13931	67063
172	13988	66867
173	14045	66677
174	14154	66728
175	14215	66552
176	14273	66368
177	14338	66216
178	14398	66038
179	14462	65882
180	14531	65754
181	14600	65623
182	14660	65452
183	14714	65253
184	14777	65099
185	14845	64969
186	14905	64803
187	14963	64629
188	15037	64527
189	15101	64378
190	15168	64246
191	15237	64125
192	15299	63974
193	15358	63809
194	15436	63725
195	15487	63532
196	15552	63393
197	15612	63239
198	15681	63119
199	15747	62989
200	15801	62814
201	15860	62657
202	15930	62545
203	15999	62427
204	16064	62297
205	16115	62114
206	16203	62073
207	16275	61972
208	16338	61836
209	16423	61784
210	16488	61654
211	16552	61524
212	16615	61390
213	16671	61233
214	16735	61104
215	16803	60989
216	16856	60822
217	16923	60706
218	16989	60588
219	17058	60478
220	17119	60344
221	17187	60235
222	17253	60115
223	17324	60018
224	17394	59913
225	17449	59759
226	17511	59631
227	17575	59511
228	17635	59374
229	17682	59197
230	17748	59083
231	17815	58975
232	17879	58856
233	17937	58718
234	17986	58552
235	18044	58416
236	18107	58296
237	18175	58193
238	18247	58100
239	18313	57993
240	18376	57873
241	18448	57784
242	18519	57691
243	18576	57556
244	18646	57460
245	18706	57334
246	18773	57233
247	18836	57117
248	18885	56961
249	18952	56858
250	19019	56754
251	19082	56640
252	19148	56538
253	19211	56424
254	19281	56331
255	19325	56164
256	19383	56039
257	19446	55927
258	19505	55805
259	19568	55695
260	19637	55601
261	19700	55492
262	19755	55359
263	19814	55240
264	19871	55116
265	19933	55004
266	19996	54898
267	20059	54788
268	20113	54658
269	20177	54552
270	20234	54432
271	20295	54319
272	20355	54206
273	20426	54122
274	20492	54024
275	20550	53907
276	20612	53801
277	20672	53689
278	20734	53583
279	20805	53498
280	20876	53418
281	20945	53330
282	21010	53231
283	21069	53117
284	21139	53033
285	21202	52932
286	21265	52830
287	21336	52748
288	21399	52647
289	21460	52542
290	21534	52467
291	21587	52341
292	21656	52256
293	21721	52160
294	21787	52067
295	21840	51945
296	21901	51840
297	21966	51747
298	22024	51636
299	22074	51507
300	22133	51399
301	22180	51264
302	22244	51170
303	22301	51057
304	22363	50960
305	22428	50866
306	22507	50806
307	22578	50727
308	22653	50658
309	22721	50573
310	22786	50481
311	22858	50405
312	22917	50301
313	22983	50211
314	23045	50114
315	23106	50015
316	23166	49913
317	23228	49816
318	23283	49704
319	23348	49615
320	23411	49521
321	23488	49456
322	23539	49337
323	23600	49240
324	23670	49162
325	23733	49068
326	23799	48982
327	23863	48891
328	23924	48793
329	23988	48704
330	24059	48627
331	24116	48524
332	24180	48434
333	24244	48343
334	24298	48234
335	24364	48148
336	24421	48045
337	24476	47939
338	24539	47848
339	24606	47765
340	24659	47656
341	24715	47551
342	24768	47443
343	24817	47325
344	24886	47248
345	24942	47146
346	25016	47078
347	25085	46999
348	25152	46916
349	25217	46831
350	25279	46742
351	25342	46652
352	25409	46572
353	25471	46481
354	25535	46395
355	25602	46314
356	25671	46237
357	25725	46133
358	25795	46058
359	25864	45981
360	25918	45877
361	25979	45787
362	26045	45705
363	26099	45602
364	26157	45506
365	26185	45358
366	26245	45267
367	26304	45175
368	26362	45080
369	26425	44994
370	26481	44896
371	26552	44824
372	26585	44690
373	26660	44624
374	26723	44538
375	26783	44448
376	26845	44362
377	26901	44266
378	26975	44200
379	27040	44118
380	27112	44048
381	27176	43966
382	27242	43886
383	27308	43806
384	27376	43731
385	27436	43642
386	27500	43560
387	27561	43473
388	27628	43395
389	27691	43312
390	27743	43211
391	27805	43127
392	27860	43032
393	27918	42940
394	27988	42868
395	28043	42773
396	28113	42701
397	28175	42616
398	28239	42535
399	28305	42458
400	28363	42368
401	28428	42288
402	28486	42199
403	28553	42123
404	28632	42064
405	28702	41993
406	28777	41928
407	28845	41854
408	28902	41763
409	28972	41691
410	29045	41624
411	29112	41549
412	29176	41468
413	29239	41387
414	29303	41306
415	29372	41234
416	29431	41148
417	29494	41066
418	29568	41001
419	29646	40939
420	29714	40866
421	29776	40784
422	29840	40704
423	29902	40622
424	29975	40554
425	30039	40476
426	30122	40421
427	30227	40397
428	30330	40370
429	30425	40331
430	30507	40275
431	30580	40207
432	30655	40141
433	30726	40072
434	30808	40015
435	30873	39937
436	30930	39848
437	30997	39772
438	31059	39691
439	31134	39625
440	31197	39545
441	31260	39464
442	31323	39384
443	31393	39312
444	31458	39235
445	31520	39153
446	31589	39080
447	31643	38988
448	31708	38911
449	31763	38822
450	31814	38727
451	31887	38659
452	31950	38580
453	32007	38493
454	32062	38404
455	32129	38329
456	32184	38241
457	32244	38158
458	32310	38082
459	32374	38005
460	32439	37927
461	32499	37845
462	32559	37763
463	32634	37698
464	32693	37615
465	32759	37539
466	32830	37470
467	32890	37388
468	32956	37313
469	33017	37232
470	33095	37170
471	33158	37092
472	33224	37017
473	33289	36941
474	33360	36871
475	33425	36795
476	33493	36723
477	33562	36651
478	33632	36581
479	33701	36509
480	33757	36424
481	33818	36344
482	33887	36272
483	33955	36200
484	34020	36125
485	34095	36060
486	34169	35993
487	34246	35930
488	34322	35866
489	34365	35768
490	34428	35690
491	34495	35617
492	34562	35543
493	34634	35475
494	34685	35386
495	34743	35303
496	34805	35225
497	34864	35144
498	34944	35084
499	35010	35010
500	35066	34926
501	35140	34860
502	35199	34780
503	35270	34711
504	35340	34640
505	35403	34563
506	35488	34508
507	35549	34429
508	35614	34355
509	35678	34279
510	35747	34208
511	35817	34139
512	35889	34070
513	35953	33995
514	36025	33927
515	36095	33856
516	36164	33785
517	36234	33716
518	36291	33634
519	36355	33559
520	36418	33482
521	36482	33407
522	36551	33336
523	36616	33262
524	36672	33179
525	36738	33106
526	36789	33019
527	36852	32943
528	36914	32867
529	36978	32792
530	37044	32718
531	37115	32650
532	37172	32569
533	37232	32491
534	37297	32417
